id,grau,tipo,notacao,funcao,chm,prioridade,comentario,secundarias_json
46,bV,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}]"
47,bV,m7(b5),A melhor notação para este caso seria o acorde enarmônico uma nota abaixo.,,#IVm7(b5),2,"Pela enarmonia seria um #IVm7(b5). Que na verdade pode ser considerado o  II7 com nona e sem a fundamental. De qualquer forma, um ou outro, normalmente representam uma dominante secundária do V, no caso seria a ""dominante da dominante"". Mas para isso ocorrer ele deveria preceder um acorde de função dominante (principal). Se não for este o caso é possível pensar no #IVm7(b5) como acorde de uso autônomo, neste caso, tomando a função de subdominante (principal).","[{""grau"": ""IIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 2, ""comentario"": null}]"
48,bV,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 1, ""comentario"": ""O mais adequado seria que esta subdominante secundária fosse com a quinta diminuta já que prepara um acorde cujo destino no campo harmônico seria menor.""}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}]"
49,bV,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}]"
50,bV,Maj7,,,,,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 3, ""comentario"": null}]"
51,V,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}]"
52,V,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}]"
53,V,m7,,S,V,3,O Vm como função principal é pouco encontrado na música tonal. Neste caso a melhor explicação seria indicá-lo com função de subdominante e não de dominante menor. Outra interpretação é que este acorde na realidade seja o bVII6 com a sexta no baixo.,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": null}]"
54,V,7,,D,V,1,,[]
55,V,Maj7,,,,,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 1, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}]"
56,#V,dim7,"Este acorde pode ser, na verdade, uma inversão do VIIdim. Assim, na partitura devem ser notadas as notas deste acorde do sétimo grau mas com a devida inversão do baixo.",D,VIIdim7 (e.m),2,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}]"
57,#V,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 3, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 1, ""comentario"": null}]"
58,#V,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 2, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""IVm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 1, ""comentario"": null}]"
59,#V,7,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,S,bVI7 (e.m.),2,"A grafia correta é a enarmonia uma nota acima o que resulta em bVI7. Este acorde normalmente é uma dominante secundária substituta do V, no caso seria a ""dominante substituta da dominante"" (subV/V). Mas para isso ocorrer ele deveria preceder um acorde de função dominante (principal). Se não for este o caso é possível pensar no bVI7 como acorde de uso autônomo, neste caso, tomando a função de subdominante (principal).","[{""grau"": ""bII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": null, ""referencia"": ""bIII"", ""prioridade"": 6, ""comentario"": null}]"
60,#V,Maj7,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,S,bVIMaj7 (e.m.),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}]"
61,bVI,dim7,"Este acorde pode ser, na verdade, uma inversão do VIIdim. Assim, na partitura devem ser notadas as notas deste acorde do sétimo grau mas com a devida inversão do baixo.",D,VIIdim7 (e.m),1,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}]"
